skill_id,skill_name,invoke_name,Alexa_Answer,User_Response,label,
B01N47LCE6,Computer Terminology,"Alexa, Start Computer Terminology",computer terminalahi i will ask you five questions try to get as many right as you can just say the number of the correct answer let's begin dok question one what is a connection of computer devices called that exchange data and share resources one router two netword three parallel notes four switch,2,,
B01N47LCE6,Computer Terminology,"Alexa, Start Computer Terminology",computer terminalahi i will ask you five questions try to get as many right as you can just say the number of the correct answer let's begin dock question one what is a global network of computers linked together that allow an exchange of data using data transfer protoco one internet two decision treats three digital paths four global mesh,1: Internet,understood,
B01N47LCE6,Computer Terminology,"Alexa, Start Computer Terminology",the correct answer is correct your score is one question two what is the storage area of main memory allocated for recently used information that can be quickly accessed for processing one static memory two holding space three buffer hug four ash,3: Buffer hug,understood,
B01N47LCE6,Computer Terminology,"Alexa, Start Computer Terminology",the correct answer is wrong the correct answer is four cash your score is one question three this term is used to refer to programmes that contain malicious code one functions two antivirus three malware four agents,3: Malware,understood,
B01N47LCE6,Computer Terminology,"Alexa, Start Computer Terminology",the correct answer is correct your score is two question four a small text file created by a web site that stores and keep track of your preferances while visiting the site is called a one colnel two memory interfits three driver four cooke,4: Cookie,understood,
B01N47LCE6,Computer Terminology,"Alexa, Start Computer Terminology",the correct answer is correct your score is three question five these are component such printers monitors or keyboards that give instructions to or carry out instructions from the c p u one output units two input units three perriferous four back up components,2: Input units,understood,
B01N47LCE6,Computer Terminology,"Alexa, Start Computer Terminology",that answer is wrong the correct answer is three perrifluous you got three out of five questions correct thank you for using computer terminology,3: Perrifluous,understood,
B07DWS8HTY,Word Game,"Alexa, play word game",welcome to the word again a,thank you,,
B07DWS8HTY,Word Game,"Alexa, play word game",you are playing against hadley round to five questions let's play a word guess game name a six letter country which starts with c and ends with a,China,understood,
B07DWS8HTY,Word Game,"Alexa, play word game",sorry that's not right the right answer is canada your opponent's answer was wrong let's play a word guess game name a four lettered geological word which starts withal and ends with e,shale,understood,
B07DWS8HTY,Word Game,"Alexa, play word game",sorry that's not right the right answer is late your opponent's answer was wrong let's play a word scramble game what animal name can you make from the letters o y e n d,donkey,understood,
B07DWS8HTY,Word Game,"Alexa, play word game",ting on you have scored one point your opponent answered correctly let's play a word scramble game what geological word can you make from the letters a o e n ce,ocean,understood,
B07DWS8HTY,Word Game,"Alexa, play word game",nay you have scored two points your opponent's answer was wrong let's play a word guess game name a five lettered country which starts with s and ends with m,Sweden,understood,
